epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3588,1.79429,3.16342,3.55862,1.28977,0.03566,1,0.05263,0.03878,0.03566,1,0.05263,0.03879,0.72201,0.58206,3.34845,0.80941,0.00022,0.00022,0.00022
2,36.9064,0.9116,0.79547,2.18018,0.85031,0.03298,1,0.14875,0.11638,0.03298,1,0.14875,0.10674,0.75267,0.42566,3.23376,0.7857,0.000455446,0.000455446,0.000455446
3,42.5479,0.82138,0.66269,1.07024,0.83916,0.03278,1,0.12866,0.09964,0.03278,1,0.12963,0.09472,0.76663,0.51813,3.10382,0.79259,0.00068614,0.00068614,0.00068614
4,48.9368,0.78821,0.67248,0.7595,0.84369,0.03011,1,0.10281,0.08457,0.03011,1,0.10281,0.06063,0.61753,0.51064,3.04433,0.77574,0.000912082,0.000912082,0.000912082
5,54.5131,0.76558,0.68401,0.70105,0.83219,0.03,1,0.98125,0.77636,0.03,1,0.98125,0.65227,0.66273,0.41188,2.83733,0.76637,0.00113327,0.00113327,0.00113327
6,60.2745,0.7763,0.63986,0.70052,0.83453,0.03,1,0.99032,0.76339,0.03,1,0.99032,0.66171,0.68733,0.4222,2.64856,0.77683,0.00134971,0.00134971,0.00134971
7,66.5057,0.73596,0.60236,0.64942,0.83179,0.03,1,0.97153,0.7469,0.03,1,0.97153,0.69673,0.64363,0.34993,2.6184,0.81281,0.0015614,0.0015614,0.0015614
8,71.5649,0.67423,0.58744,0.62202,0.83028,1,0.3826,0.98726,0.75082,1,0.3826,0.98726,0.56764,0.71248,0.44256,2.46031,0.79896,0.00176833,0.00176833,0.00176833
9,77.8341,0.74806,0.57851,0.63062,0.83126,1,0.6459,0.98716,0.7675,1,0.6459,0.98716,0.71601,0.73481,0.44234,2.03621,0.81466,0.0018416,0.0018416,0.0018416
10,83.4964,0.66327,0.56605,0.60374,0.82291,0.9978,1,0.995,0.84078,0.9978,1,0.995,0.67507,0.64218,0.57507,1.30227,0.81494,0.0018218,0.0018218,0.0018218
11,89.8019,0.63722,0.51741,0.56129,0.81542,0.99757,1,0.995,0.85546,0.99757,1,0.995,0.71773,0.6795,0.52301,1.112,0.81097,0.001802,0.001802,0.001802
12,95.3548,0.59953,0.5145,0.53724,0.81289,0.99857,1,0.995,0.82603,0.99857,1,0.995,0.63888,0.67366,0.50293,0.95526,0.83123,0.0017822,0.0017822,0.0017822
13,101.743,0.59134,0.50409,0.51572,0.81564,0.99948,1,0.995,0.86845,0.99948,1,0.995,0.63422,0.56442,0.41918,0.75928,0.81886,0.0017624,0.0017624,0.0017624
14,107.039,0.59801,0.53391,0.50302,0.81085,0.99944,1,0.995,0.8345,0.99944,1,0.995,0.69955,0.60613,0.38428,0.52225,0.83222,0.0017426,0.0017426,0.0017426
15,113.13,0.60026,0.48408,0.51038,0.80808,0.99952,1,0.995,0.87514,0.99952,1,0.995,0.67814,0.53988,0.34769,0.47311,0.82106,0.0017228,0.0017228,0.0017228
16,119.108,0.6093,0.51516,0.51205,0.8104,0.99962,1,0.995,0.92072,0.99962,1,0.995,0.6318,0.41813,0.28603,0.41262,0.81263,0.001703,0.001703,0.001703
17,124.402,0.63633,0.53746,0.50723,0.81709,0.99951,1,0.995,0.82467,0.99951,1,0.995,0.7184,0.66141,0.372,0.44203,0.8502,0.0016832,0.0016832,0.0016832
18,130.848,0.62002,0.49056,0.49824,0.81148,0.99972,1,0.995,0.86377,0.99972,1,0.995,0.63529,0.56592,0.44043,0.43169,0.82927,0.0016634,0.0016634,0.0016634
19,136.214,0.58084,0.50589,0.47598,0.80619,0.9996,1,0.995,0.87784,0.9996,1,0.995,0.67416,0.50738,0.36254,0.38296,0.83276,0.0016436,0.0016436,0.0016436
20,142.569,0.5532,0.46622,0.46426,0.80721,0.99959,1,0.995,0.88637,0.99959,1,0.995,0.65174,0.48642,0.29569,0.36193,0.82326,0.0016238,0.0016238,0.0016238
21,147.967,0.53273,0.46881,0.44745,0.80537,0.99968,1,0.995,0.90609,0.99968,1,0.995,0.63986,0.44008,0.33095,0.35305,0.81635,0.001604,0.001604,0.001604
22,154.354,0.53121,0.48053,0.44186,0.8059,0.99966,1,0.995,0.91546,0.99966,1,0.995,0.63977,0.40126,0.27892,0.33412,0.81199,0.0015842,0.0015842,0.0015842
23,159.906,0.52291,0.44042,0.42773,0.80113,0.99965,1,0.995,0.89773,0.99965,1,0.995,0.69943,0.46233,0.31289,0.32795,0.82292,0.0015644,0.0015644,0.0015644
24,166.169,0.56686,0.48965,0.43574,0.80598,0.99963,1,0.995,0.89836,0.99963,1,0.995,0.65423,0.44481,0.36115,0.34155,0.81782,0.0015446,0.0015446,0.0015446
25,171.85,0.52218,0.44818,0.42497,0.79601,0.99966,1,0.995,0.92568,0.99966,1,0.995,0.63718,0.37356,0.31981,0.31086,0.81319,0.0015248,0.0015248,0.0015248
26,177.585,0.4899,0.42077,0.40345,0.7918,0.9997,1,0.995,0.93649,0.9997,1,0.995,0.66482,0.36326,0.29501,0.31694,0.81486,0.001505,0.001505,0.001505
27,183.617,0.48221,0.45694,0.40887,0.79499,0.99967,1,0.995,0.90111,0.99967,1,0.995,0.68614,0.44842,0.34168,0.3195,0.81946,0.0014852,0.0014852,0.0014852
28,188.789,0.50667,0.44175,0.40977,0.79924,0.99965,1,0.995,0.92418,0.99965,1,0.995,0.671,0.37442,0.28662,0.33211,0.81344,0.0014654,0.0014654,0.0014654
29,195.32,0.50076,0.4301,0.39546,0.80062,0.99958,1,0.995,0.92372,0.99958,1,0.995,0.65209,0.37437,0.27962,0.30618,0.81897,0.0014456,0.0014456,0.0014456
30,200.714,0.50114,0.44241,0.38604,0.79555,0.99941,1,0.995,0.92803,0.99941,1,0.995,0.63391,0.36095,0.28142,0.30903,0.81231,0.0014258,0.0014258,0.0014258
